participant_ID,text_file,error,rater_1,rater_2
CTV1_C,./data/processed/exercises/CTV1_C_E01.txt,a la cafetería ni a (los espacios libres) [las áreas comunes],"metalinguistic reflection, matching, prompted writing","metalinguistic reflection, matching, prompted writing"
CTV1_C,./data/processed/exercises/CTV1_C_E02.txt,el problema (se trata de) [consiste en],discrete choice,discrete choice
CTV1_C,./data/processed/exercises/CTV1_C_E03.txt,estudiante de Erasmus (en) [de] tercer año,discrete choice,discrete choice
CTV1_C,./data/processed/exercises/CTV1_C_E04.txt,(empéso) [empezó] / (empíoro) [empeoró] / (associacion) [asociación] / (dijieron) [dijeron] / (demonstró) [demostró],"text editing, prompted writing","text editing, prompted writing"
CTV1_C,./data/processed/exercises/CTV1_C_E05.txt,no tenían ganas de ir a la cafetería (o) [ni] a las áreas comunes,cloze,cloze
CTV1_C,./data/processed/exercises/CTV1_C_E06.txt,(dias) [días] / (caféteria) [cafetería] / (despues) [después] / (preferian) [preferían] / (resolucion) [resolución],accent marking and read-aloud,"accent marking and read-aloud, prompted writing"
CTV1_C,./data/processed/exercises/CTV1_C_E07.txt,forma parte (de el) [del] grupo,discrete choice,discrete choice
CTV1_C,./data/processed/exercises/CTV1_C_E08.txt,para encontrar una (resolución) [solución],discrete choice,discrete choice
CTV1_C,./data/processed/exercises/CTV1_C_E09.txt,estos letreros (leían) [decían],"translation, prompted writing","translation, prompted writing"
CTV1_C,./data/processed/exercises/CTV1_C_E10.txt,(en todas partes de) [por toda] la cafetería,translation,"translation, metalinguistic reflection"
CTV1_C,./data/processed/exercises/CTV1_C_E11.txt,la cantidad de horas que estaban trabajando (se) había aumentado / el problema ya (se) había mejorado,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CTV1_C,./data/processed/exercises/CTV1_C_E12.txt,o (perder) [faltar a] clase,matching,matching
CTV1_C,./data/processed/exercises/CTV1_C_E13.txt,"(tristemente) [lamentablemente], en menos de una semana",cloze,cloze
CTV1_C,./data/processed/exercises/CTV1_C_E14.txt,preferían (no comer) [saltarse la comida],paradigmatic systematization,paradigmatic systematization
CTV1_C,./data/processed/exercises/CTV1_C_E15.txt,"(a la misma vez) [al mismo tiempo], una persona del equipo",discrete choice,discrete choice
CXY1_S,./data/processed/exercises/CXY1_S_E01.txt,fue muy (monumental) [memorable],"paradigmatic systematization, text editing",paradigmatic systematization
CXY1_S,./data/processed/exercises/CXY1_S_E02.txt,durante (mi vacación) [mis vacaciones] de verano,discrete choice,discrete choice
CXY1_S,./data/processed/exercises/CXY1_S_E03.txt,(desde) [de] 2008 a 2022 / (desde) [de] 2024 a 2025,cloze,cloze
CXY1_S,./data/processed/exercises/CXY1_S_E04.txt,mi vida era muy (ocupada) [ajetreada],"translation, prompted writing","translation, prompted writing"
CXY1_S,./data/processed/exercises/CXY1_S_E05.txt,con (mis) [mi] familia,text editing,text editing
CXY1_S,./data/processed/exercises/CXY1_S_E06.txt,pero conocí [a] muchas buenas amigas,discrete choice,discrete choice
CXY1_S,./data/processed/exercises/CXY1_S_E07.txt,muchas [buenas] amigas (buenas),sentence reconstruction,sentence reconstruction
CXY1_S,./data/processed/exercises/CXY1_S_E08.txt,(tuve) [hice] una pasantía,text editing,text editing
CXY1_S,./data/processed/exercises/CXY1_S_E09.txt,mi vida era muy (ajetreado) [ajetreada] / fuimos a (muchas) [muchos] lugares,cloze,cloze
CXY1_S,./data/processed/exercises/CXY1_S_E10.txt,(empecé a estudiar) [estudié] en la secundaria de 2008 a 2022,"metalinguistic reflection, translation","metalinguistic reflection, translation"
CXY1_S,./data/processed/exercises/CXY1_S_E11.txt,viajé a muchas (cuidades) [ciudades],"text editing, prompted writing","text editing, prompted writing"
CXY1_S,./data/processed/exercises/CXY1_S_E12.txt,tuve un examen importante (hasta) [en] 2022,"text editing, metalinguistic reflection","text editing, metalinguistic reflection"
CXY1_S,./data/processed/exercises/CXY1_S_E13.txt,"(durante) [a] los 14 años, mi vida era muy ajetreada",discrete choice,discrete choice
CXY1_S,./data/processed/exercises/CXY1_S_E14.txt,hice una (práctica) [pasantía],paradigmatic systematization,paradigmatic systematization
CXY1_S,./data/processed/exercises/CXY1_S_E15.txt,(normalmente) [siempre] estaba feliz de jugar con ellas,metalinguistic reflection,metalinguistic reflection
CYS1_J,./data/processed/exercises/CYS1_J_E01.txt,continué (encontrando) [buscando] nuevas comidas que probar,"translation, prompted writing","translation, prompted writing"
CYS1_J,./data/processed/exercises/CYS1_J_E02.txt,casi siempre hay (las gentes) [gente] que intenta robar,"cloze, prompted writing","cloze, prompted writing"
CYS1_J,./data/processed/exercises/CYS1_J_E03.txt,mi primera vez viajando (sin mi familia o amigo) [a solas],"matching, prompted writing",matching
CYS1_J,./data/processed/exercises/CYS1_J_E04.txt,(por que) [porque] era mi primera vez viajando,"metalinguistic reflection, prompted writing, translation","metalinguistic reflection, prompted writing, translation"
CYS1_J,./data/processed/exercises/CYS1_J_E05.txt,"por la tarde, decidí (a) comer / continué (a) buscando",discrete choice,discrete choice
CYS1_J,./data/processed/exercises/CYS1_J_E06.txt,(despues) [después] / (avion) [avión] / (cafe) [café] / (turistico) [turístico] / (memoría) [memoria] / (tambien) [también] / (telefono) [teléfono],accent marking and read-aloud,accent marking and read-aloud
CYS1_J,./data/processed/exercises/CYS1_J_E07.txt,tomé muchas fotos (por memoria) [de recuerdo],discrete choice,discrete choice
CYS1_J,./data/processed/exercises/CYS1_J_E08.txt,(muchos) [muchas] fotos / (un) [una] ciudad / (el) [la] dirección,cloze,cloze
CYS1_J,./data/processed/exercises/CYS1_J_E09.txt,el día más caótico (en) [de] mi vida,discrete choice,discrete choice
CYS1_J,./data/processed/exercises/CYS1_J_E10.txt,"cerca de Las Ramblas, (un pueblo) [una zona] más poblada","matching, cloze","matching, cloze"
CYS1_J,./data/processed/exercises/CYS1_J_E11.txt,(llegí) [llegué],"cloze, metalinguistic reflection","cloze, metalinguistic reflection"
CYS1_J,./data/processed/exercises/CYS1_J_E12.txt,(proban) [prueban] / (direcíon) [dirección] / (indepiente) [independiente] / (entiendí) [entendí],"text editing, prompted writing","text editing, prompted writing"
CYS1_J,./data/processed/exercises/CYS1_J_E13.txt,(disastre) [desastre] / (jaqueta) [chaqueta],"metalinguistic reflection, paradigmatic systematization, prompted writing","metalinguistic reflection, paradigmatic systematization, prompted writing"
CYS1_J,./data/processed/exercises/CYS1_J_E14.txt,pregunté a otra persona (para) [por] la dirección,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CYS1_J,./data/processed/exercises/CYS1_J_E15.txt,"unos minutos [más] tarde, quise tomar una foto",paradigmatic systematization,paradigmatic systematization
CZY1_S,./data/processed/exercises/CZY1_S_E01.txt,para (mi) [mí],"matching, prompted writing","matching, prompted writing"
CZY1_S,./data/processed/exercises/CZY1_S_E02.txt,"(También, ) [Además, ]",sentence reconstruction,text editing
CZY1_S,./data/processed/exercises/CZY1_S_E03.txt,(Chino) [China] / (Sydney) [Sídney],"cloze, translation","cloze, translation, metalinguistic reflection"
CZY1_S,./data/processed/exercises/CZY1_S_E04.txt,antes de (nacir) [nacer] / (jugé) [jugué] / (vivé) [viví],"text editing, prompted writing","text editing, prompted writing"
CZY1_S,./data/processed/exercises/CZY1_S_E05.txt,(mi familia y yo gustamos) [a mi familia y a mí nos gustó] la ciudad,text editing,"text editing, metalinguistic reflection"
