Lexical item;Level
armario empotrado;C2
armario ropero;C2
armarse un lío;B2
armonía;B2
armoniosamente;C2
armonioso;C1
arnés;C2
aroma;A2
aroma relajante;B2
arquear las cejas;C1
arquitecto;A2
arquitectura;B1
arquitectura civil;C2
arquitectura funeraria;C2
arquitectura militar;C2
arquitectura religiosa;C2
arrabal;C2
arrancar;B2
arranque de inspiración;C2
arrasar;C2
arrastrar;B2
arrebatador;C2
arrebatar;C2
arreciar;C2
arreciar el viento;C2
arreglar;B1
arreglar el bajo;C1
arreglar el coche;B1
arreglar el dobladillo;C1
arreglar la casa;B2
arreglar la cintura;C1
arreglar la manga;C1
arreglar un aparato eléctrico;B2
arreglar un enchufe;B2
arreglar un interruptor;B2
arreglar un pinchazo;B2
arreglar una gotera;C1
arreglar una grieta;C1
arreglo;B2
arreglo personal;C1
arrendador;B2
arrendatario;B2
arrepentirse;C1
arresto;C1
arrimar el hombro;C2
arroba;A1
arrogancia;B2
arrogante;B1
arrollador;C2
arrollar;C2
arroyo;C2
arroz;A2
arroz con leche;B2
arruga;A2
arrugado;B2
arrugar;A2
arrugar la frente;C1
arrugar la nariz;C1
arrugarse;B1
arrugas de expresión;C2
arruinar;B2
arruinarse una empresa;C1
artículo;B2
artículo de fondo;B2
artículo de opinión;B2
artículo gratis;B2
artístico;B1
arte;A2
arte abstracto;B2
arte barroco;B2
arte callejero;B2
arte civil;C2
arte clásico;B1
arte conceptual;C1
arte contemporáneo;B2
arte cubista;B2
arte expresionista;B2
arte figurativo;C1
arte futurista;B2
arte gótico;B2
arte impresionista;B2
arte minimalista;C1
arte modernista;B2
arte moderno;B1
arte oriental;B2
arte realista;B2
arte románico;B2
arte vanguardista;C1
arteria;B2
artes escénicas;B2
artes plásticas;B2
articulación;B1
articulista;C2
artillería;C2
artista;A2
artista afamado;C2
artista consagrado;C2
artista consumado;C2
artista cotizado;C2
artista de primera fila;C1
artista reconocido;C1
arzobispo;C1
as;C2
asado;B1
asalariado;C1
asaltar;C1
asalto;C1
asar;B1
ascender;C1
ascender a jefe de sección;B2
ascender a responsable de unidad;B2
ascender a subdirector;B2
ascenso;C1
ascenso de la mortalidad;C1
ascenso de la natalidad;C1
ascenso de la población;C1
ascensor;A1
ascensorista;C2
asear;C1
asearse;C1
asediar;C2
asedio;C2
asentamiento;C2
asentarse;A2
asentir;B2
aseo;A2
aseo personal;C1
aseos públicos;B1
asepsia;C2
asesinar;B2
asesinar a alguien;B2
asesinato;B2
asesino;B1
asesino a sueldo;C2
asesino en serie;C2
asfaltado;C2
asfaltar;C2
asfixiante;C2
asfixiar;C1
asia;B1
asiento;B1
asiento de un cine;B1
asiento de un teatro;B1
asientos no numerados;C1
asientos numerados;C1
asignatura;B1
asignatura común;B2
asignatura obligatoria;B2
asignatura optativa;B2
asignatura pendiente;B2
asignatura práctica;B1
asignatura teórica;B1
asilo;C1
asimilar;B2
asimilar conocimientos;C1
asir;C2
asistencia;C1
asistencia domiciliaria;B2
asistencia médica;B2
asistencia sanitaria;B2
asistente;B1
asistente social;B2
asistir;B1
asistir a emigrantes retornados;C1
asistir a menores;C1
asistir a trabajadores;C1
asistir a un cóctel;B2
asistir a un enfermo;C1
asistir a un funeral;B2
asistir a un velatorio;C2
asistir a una celebración;B2
asistir a una fiesta de disfraces;B2
asmático;C2
asma;C2
asociación;B2
asociación de antiguos alumnos;B2
asociación de empresarios;C1
asociación de padres;C1
asociación de profesores;B2
asociación de vecinos;C1
asociación deportiva;C1
asociarse;C1
asolar;C2
asombrarse;C1
aspecto;B1
aspecto enfermizo;C2
aspecto jovial;C2
aspecto saludable;C2
aspersor;B2
aspirador;B1
aspirante;C1
aspirar;C1
aspirina;B1
asterisco;C1
astrónomo;B2
astral;C2
astro;C1
astrofísica;C2
astrología;B2
astronómico;C2
astronauta;B1
astronomía;B2
asueto;C2
asumir;B2
asumir la presidencia;C1
asumir un cargo;C1
asumir una deuda;C2
asumir una situación;C1
asustar;B2
asustarse;B2
atún;A2
atómico;B2
ataúd;C2
atacar;B2
atacar un virus;B2
ataque al corazón;B2
ataque de ansiedad;B2
ataque epiléptico;B2
atasco;B1
ateísmo;B2
atención;B1
atención al cliente;B2
atención de urgencias;B2
atención especializada;B2
atención primaria;B2
atender;A2
atender a personas mayores;B1
atender a un enfermo;B2
atender clientes;B1
atender las necesidades de formación;C2
atender una llamada;B1
atender una mesa;B2
atender usuarios;B1
ateneo;C2
atenerse;B2
atenerse a la ley;C1
atentado;B2
atentado terrorista;B1
atentar contra alguien;B2
atento;B2
ateo;B1
aterrizaje;B2
aterrizaje de emergencia;C1
aterrizaje forzoso;C1
aterrizar;B1
atestado;C1
atiborrarse;C2
atisbar;C1
atisbo;C1
atleta;A1
atletismo;B1
atmósfera;B1
atormentado;C1
atormentar;C1
atosigar;C2
atracar;B1
atraco;B1
atraco a mano armada;C2
atravesar;B1
atravesar el océano;B2
atravesar el país;B2
atrevido;C1
atrocidad;C1
atropellar;B1
atropello;B1
atroz;C1
ATS;C1
atuendo;C2
atunero;C2
audición;B2
audio;B1
audioconferencia;B2
auditorio;C1
auge;C1
aula;A2
aula multimedia;B1
aullar;C2
aullido;C2
aumentar;A2
aumentar el número de desempleados;B2
aumentar el precio;B1
aumentar la familia;B2
aumentar la velocidad;B2
aumento;A2
aumento de la mortalidad;B2
aumento de la natalidad;B2
aumento de la población;B2
auricular;C1
aurresku;C2
austeridad;C1
austero;C1
autobús;A1
autobús interurbano;B2
autobús urbano;B2
autobiografía;B1
autoevaluación;B2
automóvil;C1
autonómico;C1
autonomía;C1
autopista;B1
autopista de peaje;B2
autor;B2
autor futurista;B2
autor impresionista;B2
autor modernista;B2
autor teatral;B2
autoservicio;B2
autovía;B2
auxiliar;C1
auxiliar de vuelo;B1
auxilio;C1
aval;C1
aval bancario;C1
avalancha;C2
avalar;C2
avalar una hipótesis;C2
avalar una teoría;C2
avalista;C2
avance;B2
avance científico;B2
avance tecnológico;B2
avanzar;B1
avanzar con una ficha;B2
avanzar las tropas;C2
ave;B1
ave de corral;C1
avecinarse;C2
avecinarse una tormenta;C2
avellana;B2
avena;C2
avenida;A1
aventura;C1
aventurero;C2
avería;B1
avergonzado;B2
avergonzarse;B2
averiado;B1
averiarse;C1
averiarse el servicio telefónico;C2
averiarse la conexión;C2
averiarse un electrodoméstico;B2
aversión;C2
avestruz;B1
avión;A1
avión de carga;C1
avión de combate;C2
aviación;C2
aviación civil;C2
aviador;C1
avinagrado;C2
avioneta;C1
avisar;B2
aviso;C1
axioma;C2
ayuda;B1
ayuda económica;B1
ayuda en carretera;B2
ayuda jurídica;C1
ayudante;B1
ayudante técnico sanitario;C1
ayudar;B1
ayunar;B2
ayuntamiento;A2
azúcar;A2
azúcar alto;B2
azada;C2
azafata;A2
azar;B2
azotar;B2
azotar el viento;C2
azotea;C2
azucarero;B1
azul;A1
azulejo;C2
báscula;A2
béisbol;B1
bóveda;C2
bañador;A2
bañarse;A1
bañera;A2
bañera de hidromasaje;B2
baño;A1
baño público;B1
babor;C2
bacalao;A2
bacalao al pilpil;B2
bache;B2
bachiller;B1
bachillerato;B1
bacteria;C2
bahía;C1
bailaor;C1
bailar;A1
bailar al compás;C2
bailar al compás de la música;C2
bailarín;B1
baile;B1
baile agarrado;C1
baile de salón;C1
baile suelto;C1
bailotear;C2
bajón;C1
bajar;A2
bajar el desempleo;B2
bajar el interés;B1
bajar el paro;B2
bajar el precio;B1
bajar el precio de la vivienda;C1
bajar el precio del metro cuadrado;C1
bajar el precio del suelo;C1
